ID,Item,Boss,Attendee,Class,Specialization,Comment,"Date (GMT)"
19385,"Empowered Leggings",Chromaggus,Vrganj,Druid,Restoration,,"2025-03-07 20:51:55"
19371,"Pendant of the Fallen Dragon",Vaelastrasz,Lusiena,Warrior,Protection,,"2025-03-07 20:53:38"
16966,"Breastplate of Wrath",Nefarian,Lusiena,Warrior,Protection,,"2025-03-07 20:53:38"
36551,"Black Drake",Nefarian,Nihsnakket,Paladin,Protection,,"2025-03-07 20:55:44"
36551,"Black Drake",Nefarian,Nihsnakket,Paladin,Protection,,"2025-03-07 20:55:44"
19348,"Red Dragonscale Protector",Vaelastrasz,Wlnk,Druid,Restoration,,"2025-03-07 20:55:55"
19003,"Head of Nefarian (Alliance)",Nefarian,Wlnk,Druid,Restoration,,"2025-03-07 20:55:56"
16958,"Judgement Breastplate",Nefarian,Spumly,Paladin,Retribution,,"2025-03-07 20:56:02"
36551,"Black Drake",Nefarian,Spumly,Paladin,Retribution,,"2025-03-07 20:56:02"
19395,"Rejuvenating Gem",Shared,Sorune,Priest,Holy,,"2025-03-07 20:56:46"
16923,"Robes of Transcendence",Nefarian,Sorune,Priest,Holy,,"2025-03-07 20:56:47"
19352,"Chromatically Tempered Sword",Chromaggus,Vaykkii,Warrior,Fury,,"2025-03-07 20:58:50"
19363,"Crul'shorukh, Edge of Chaos",Nefarian,Vaykkii,Warrior,Fury,,"2025-03-07 20:58:51"
