ID,Item,Boss,Attendee,Class,Specialization,Comment,"Date (GMT)"
16798,"Arcanist Robes",Golemagg,Brockington,Mage,Arcane,,"2025-01-05 18:57:51"
17102,"Cloak of the Shrouded Mists",Ragnaros,Farpa,Hunter,Marksmanship,,"2025-01-05 19:30:01"
16938,"Dragonstalker's Legguards",Ragnaros,Farpa,Hunter,Marksmanship,,"2025-01-05 19:30:01"
19140,"Cauterizing Band","Majordomo Executus",Vrganj,Druid,Restoration,,"2025-01-05 20:18:55"
18810,"Wild Growth Spaulders","Majordomo Executus",Vrganj,Druid,Restoration,,"2025-01-05 20:18:55"
17204,"Eye of Sulfuras",Ragnaros,Megaorc,Warrior,Arms,,"2025-01-05 20:23:24"
18821,"Quick Strike Ring",Shared,Megaorc,Warrior,Arms,,"2025-01-05 20:23:24"
17063,"Band of Accuria",Ragnaros,Brab,Rogue,Swords,,"2025-01-05 20:32:16"
18564,"Bindings of the Windseeker (Right Half)",Garr,Brab,Rogue,Swords,,"2025-01-05 20:32:16"
16901,"Stormrage Legguards",Ragnaros,Shammimnot,Druid,Balance,"2nd time","2025-01-05 20:38:21"
18703,"Ancient Petrified Leaf","Majordomo Executus",Legalas,Hunter,Marksmanship,,"2025-01-05 20:42:29"
17063,"Band of Accuria",Ragnaros,Legalas,Hunter,Marksmanship,,"2025-01-05 20:42:29"
17105,"Aurastone Hammer",Garr,Fyruss,Paladin,Holy,,"2025-01-05 20:43:36"
18870,"Helm of the Lifegiver",Shared,Fyruss,Paladin,Holy,,"2025-01-05 20:49:47"
92080,"Molten Corehound",Ragnaros,Shammimnot,Druid,Balance,"1st time","2025-01-05 20:43:55"
16854,"Lawbringer Helm",Garr,Danknight,Paladin,Protection,,"2025-01-05 20:44:03"
16853,"Lawbringer Chestguard",Golemagg,Danknight,Paladin,Protection,,"2025-01-05 20:44:03"
18646,"The Eye of Divinity","Majordomo Executus",Sanctura,Priest,Discipline,,"2025-01-05 20:52:32"
19140,"Cauterizing Band","Majordomo Executus",Sanctura,Priest,Discipline,,"2025-01-05 20:46:26"
19140,"Cauterizing Band","Majordomo Executus",Shadowordpwn,Priest,Holy,,"2025-01-05 20:46:54"
19145,"Robe of Volatile Power",Shared,Neby,Mage,Frost,,"2025-01-05 20:48:03"
19136,"Mana Igniting Cord",Shared,Neby,Mage,Frost,,"2025-01-05 20:48:03"
16922,"Leggings of Transcendence",Ragnaros,Shadowordpwn,Priest,Holy,,"2025-01-05 20:49:49"
92080,"Molten Corehound",Ragnaros,Bouzor,Shaman,Enhancement,,"2025-01-05 20:49:55"
17204,"Eye of Sulfuras",Ragnaros,Bouzor,Shaman,Enhancement,,"2025-01-05 20:49:56"
18820,"Talisman of Ephemeral Power",Shared,Arythryal,Paladin,Retribution,"+alot for the bindings","2025-01-05 20:51:48"
18564,"Bindings of the Windseeker (Right Half)",Garr,Arythryal,Paladin,Retribution,"+alot for the bindings","2025-01-05 20:51:48"
16815,"Robes of Prophecy",Golemagg,Novariel,Priest,Holy,,"2025-01-05 20:52:45"
18646,"The Eye of Divinity","Majordomo Executus",Novariel,Priest,Holy,,"2025-01-05 20:52:45"
17076,"Bonereaver's Edge",Ragnaros,Chabbati,Hunter,Survival,,"2025-01-05 20:55:47"
17076,"Bonereaver's Edge",Ragnaros,Chabbati,Hunter,Survival,,"2025-01-05 20:55:48"
16866,"Helm of Might",Garr,Lusiena,Warrior,Protection,,"2025-01-05 20:56:23"
16861,"Bracers of Might","Trash mobs",Lusiena,Warrior,Protection,,"2025-01-05 20:56:24"
18564,"Bindings of the Windseeker (Right Half)",Garr,Taveon,Warrior,Fury,,"2025-01-05 20:56:26"
19137,"Onslaught Girdle",Ragnaros,Taveon,Warrior,Fury,,"2025-01-05 20:56:26"
